User_Name,Five_most_used_Theme,Category
198.168.27.221,"{'Rosanne Laflamme': 32, 'Liste des plus hautes constructions de Montréal': 24, 'André Turpin (artiste)': 22, 'André Joyal': 20, 'Michel Pageau': 17}",Léonidas aux Thermopyles
1hitk062,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
2.0.3.63,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
2.0.45.177,{'Guerres médiques': 1},Guerres médiques
2.1.148.18,{'Bataille de Salamine': 2},Bataille de Salamine
2.10.189.195,{'300 (film)': 1},300 (film)
2.11.242.62,"{'Canal de Xerxès': 1, 'Charte des droits de 1689': 1}",Canal de Xerxès
2.12.251.100,{'Bataille de Marathon': 1},Bataille de Marathon
2.13.103.127,{'Bataille de Marathon': 2},Bataille de Marathon
2.4.186.190,{'Bataille de Marathon': 2},Bataille de Marathon
2.6.139.60,{'Darius Ier': 1},Darius Ier
2.8.185.52,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
200.146.139.88,"{'Thémistocle': 1, 'Encens (résine oliban)': 1}",Thémistocle
2001:4c28:4000:721:185:26:182:31,"{'William Levy': 7, 'Scandinavie': 3, 'Cain Velasquez': 2, '300 (film)': 2, 'Île Tanna': 1}",300 (film)
2001:861:4f80:8d40:2d8d:3b32:a02a:2ce1,{'Seconde guerre médique': 1},Seconde guerre médique
201.203.64.146,"{'Jane Austen': 2, '300 (film)': 1, 'Diego': 1}",300 (film)
2017-CMI,"{'Generalplan Ost': 41, 'Conférence de Berlin (6-7 décembre 1917)': 30, 'Massacre de Nemmersdorf': 16, ""Histoire de l'Autriche-Hongrie pendant la Première Guerre mondiale"": 14, 'Utilisateur:Conteur-momentanement-indisponible/Des labels': 9}",Campagne scythe de Darius Ier
203.176.139.106,"{'Liste de jeux CD-i': 2, 'Alphabet': 2, 'Stade Lambert': 1, 'Prix Gusi de la Paix': 1, 'Listes des plus grandes constructions du monde': 1}",Spartatouille
204.126.156.57,"{'Dragon oriental': 2, 'Sujet': 1, 'Sept-Îles': 1, 'Bataille de Salamine': 1, 'Carey Price': 1}",Bataille de Salamine
204.81.140.44,{'300 (film)': 1},300 (film)
205.151.168.48,"{'Andrew Scheer': 8, 'Al-Shaghour': 8, 'Foulques de Bréauté': 7, 'Bromance': 6, 'Le Régiment de Sambre-et-Meuse': 6}",Bataille de Platées
205.211.16.14,"{'Charles de Gaulle': 5, 'Liban': 4, 'Guerre de Sécession': 4, 'Bugatti': 4, 'Culture du Mali': 3}",Hippias (tyran)
206.41.90.6,"{'Imprimerie': 7, 'Empreinte écologique': 4, 'Popocatepetl': 4, 'Tristan et Iseut': 4, 'Attentats du 11 septembre 2001': 4}",Bataille de Marathon
206.47.100.198,{'300 (film)': 1},300 (film)
206.47.113.44,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
207.134.168.131,"{'Canadiens de Montréal': 5, 'Amish': 4, 'Rosa Parks': 4, 'Ruban rouge': 4, ""Déclaration d'indépendance des États-Unis"": 4}",Léonidas Ier de Sparte
207.161.131.142,{'Xerxès Ier': 1},Xerxès Ier
207.253.117.64,"{'Saint-Hyacinthe': 9, 'Drogue': 6, 'The Bloody Beetroots': 5, 'Terrorisme': 4, 'Lucille Teasdale-Corti': 4}",Léonidas Ier de Sparte
209.169.138.71,"{'Pierre Gauthier (hockey sur glace)': 3, 'René Bourque': 2, 'The Notorious B.I.G.': 1, 'Spartatouille': 1, 'Wade Dubielewicz': 1}",Spartatouille
209.54.66.24,{'Bataille des Thermopyles': 2},"Bataille des Thermopyles,Bataille des Thermopyles"
212.1.254.253,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
212.17.87.130,{'Xerxès Ier': 1},Xerxès Ier
212.195.66.235,{'Guerres médiques': 1},Guerres médiques
212.198.249.148,"{'Silence... on tourne': 3, '300 (film)': 2}",300 (film)
